variant,crop,revenue_per_ep,units_per_ep,avg_sale_price,max_inv,avg_inv,orders_per_ep,cap_bound_pct
agent_a,WHEAT,1227.0,30.333333333333332,40.45054945054945,8,1.21875,11.333333333333334,0.0
agent_a,CARROT,549.6666666666666,15.333333333333334,35.84782608695652,4,2.0,7.666666666666667,0.0
agent_a,TOMATO,5904.0,16.0,369.0,10,5.333333333333333,3.0,0.0
agent_a,STRAWBERRY,19917.444444444445,107.0,186.14434060228453,26,4.584967320261438,21.22222222222222,0.9803921568627451
agent_a,MELON,16343.0,96.33333333333333,169.65051903114187,60,19.777589134125638,8.666666666666666,1.3582342954159592
agent_a,WOOL,7591.333333333333,34.0,223.27450980392157,6,3.888888888888889,9.0,11.11111111111111
agent_a,FERTILIZER,9667.0,92.33333333333333,104.69675090252707,7,1.0948616600790513,84.33333333333333,0.0
agent_d,WHEAT,1139.3333333333333,28.333333333333332,40.21176470588235,8,1.2156762295081966,11.333333333333334,0.0
agent_d,CARROT,548.6666666666666,15.0,36.577777777777776,4,2.142857142857143,7.0,0.0
agent_d,TOMATO,5904.0,16.0,369.0,10,5.333333333333333,3.0,0.0
agent_d,STRAWBERRY,20282.0,107.33333333333333,188.96273291925465,26,6.836734693877551,16.333333333333332,0.0
agent_d,MELON,19031.333333333332,96.33333333333333,197.55709342560553,60,26.333333333333332,6.0,33.33333333333333
agent_d,WOOL,7604.666666666667,34.0,223.66666666666666,6,4.25,8.0,0.0
agent_d,FERTILIZER,10955.333333333334,105.33333333333333,104.00632911392405,7,1.1126760563380282,94.66666666666667,0.0
agent_d_robust,WHEAT,1139.3333333333333,28.333333333333332,40.21176470588235,8,1.2156762295081966,11.333333333333334,0.0
agent_d_robust,CARROT,548.6666666666666,15.0,36.577777777777776,4,2.142857142857143,7.0,0.0
agent_d_robust,TOMATO,5904.0,16.0,369.0,10,5.333333333333333,3.0,0.0
agent_d_robust,STRAWBERRY,20299.0,107.33333333333333,189.12111801242236,26,6.895833333333333,16.0,0.0
agent_d_robust,MELON,19359.333333333332,96.33333333333333,200.96193771626298,60,26.823529411764707,5.666666666666667,35.294117647058826
agent_d_robust,WOOL,7604.666666666667,34.0,223.66666666666666,6,4.25,8.0,0.0
agent_d_robust,FERTILIZER,10955.333333333334,105.33333333333333,104.00632911392405,7,1.1126760563380282,94.66666666666667,0.0
agent_a_cap_boost,WHEAT,1139.3333333333333,28.333333333333332,40.21176470588235,8,1.2156762295081966,11.333333333333334,0.0
agent_a_cap_boost,CARROT,548.6666666666666,15.0,36.577777777777776,4,2.142857142857143,7.0,0.0
agent_a_cap_boost,TOMATO,5904.0,16.0,369.0,10,5.333333333333333,3.0,0.0
agent_a_cap_boost,STRAWBERRY,20296.0,107.33333333333333,189.09316770186336,26,4.855263157894737,17.333333333333332,0.0
agent_a_cap_boost,MELON,20045.0,96.33333333333333,208.07958477508652,60,3.4741573033707867,7.333333333333333,0.6741573033707865
agent_a_cap_boost,WOOL,7604.666666666667,34.0,223.66666666666666,6,4.25,8.0,0.0
agent_a_cap_boost,FERTILIZER,10955.333333333334,105.33333333333333,104.00632911392405,7,1.1126760563380282,94.66666666666667,0.0
